timestamp,sentiment,tally
2018-03-17,neutral,518
2018-03-17,positive,331
2018-03-18,negative,205
2018-03-18,neutral,495
2018-03-18,positive,320
2018-03-19,negative,232
2018-03-19,neutral,488
2018-03-19,positive,300
2018-03-20,negative,183
2018-03-20,neutral,542
2018-03-20,positive,295
2018-03-21,negative,211
2018-03-21,neutral,515
2018-03-21,positive,294
2018-03-22,negative,196
2018-03-22,neutral,534
2018-03-22,positive,290
2018-03-23,negative,180
2018-03-23,neutral,529
2018-03-23,positive,311
2018-03-24,negative,186
2018-03-24,neutral,528
2018-03-24,positive,306
2018-03-25,negative,181
2018-03-25,neutral,509
2018-03-25,positive,330
2018-03-26,negative,215
2018-03-26,neutral,485
2018-03-26,positive,320
2018-03-27,negative,190
2018-03-27,neutral,516
2018-03-27,positive,314
2018-03-28,negative,180
2018-03-28,neutral,509
2018-03-28,positive,331
2018-03-29,negative,198
2018-03-29,neutral,509
2018-03-29,positive,313
2018-03-30,negative,160
2018-03-30,neutral,527
2018-03-30,positive,333
2018-03-31,negative,191
2018-03-31,neutral,496
2018-03-31,positive,333
2018-04-01,negative,197
2018-04-01,neutral,478
2018-04-01,positive,344
2018-04-02,negative,201
2018-04-02,neutral,509
2018-04-02,positive,310
2018-04-03,negative,214
2018-04-03,neutral,502
2018-04-03,positive,304
2018-04-04,negative,216
2018-04-04,neutral,545
2018-04-04,positive,259
2018-04-05,negative,186
2018-04-05,neutral,539
2018-04-05,positive,295
2018-04-06,negative,199
2018-04-06,neutral,503
2018-04-06,positive,318
2018-04-07,negative,175
2018-04-07,neutral,530
2018-04-07,positive,315
2018-04-08,negative,187
2018-04-08,neutral,509
2018-04-08,positive,324
2018-04-09,negative,209
2018-04-09,neutral,505
2018-04-09,positive,306
2018-04-10,negative,184
2018-04-10,neutral,509
2018-04-10,positive,327
2018-04-11,negative,172
2018-04-11,neutral,519
2018-04-11,positive,329
2018-04-12,negative,189
2018-04-12,neutral,527
2018-04-12,positive,304
2018-04-13,negative,213
2018-04-13,neutral,495
2018-04-13,positive,312
2018-04-14,negative,178
2018-04-14,neutral,536
2018-04-14,positive,305
2018-04-15,negative,177
2018-04-15,neutral,551
2018-04-15,positive,292
2018-04-16,negative,192
2018-04-16,neutral,506
2018-04-16,positive,322
2018-04-17,negative,134
2018-04-17,neutral,335
2018-04-17,positive,211
2018-04-18,negative,197
2018-04-18,neutral,528
2018-04-18,positive,295
2018-04-19,negative,151
2018-04-19,neutral,502
2018-04-19,positive,367
2018-04-20,negative,189
2018-04-20,neutral,520
2018-04-20,positive,311
2018-04-21,negative,170
2018-04-21,neutral,502
2018-04-21,positive,348
2018-04-22,negative,175
2018-04-22,neutral,530
2018-04-22,positive,315
2018-04-23,negative,182
2018-04-23,neutral,493
2018-04-23,positive,345
2018-04-24,negative,183
2018-04-24,neutral,476
2018-04-24,positive,361
2018-04-25,negative,180
2018-04-25,neutral,504
2018-04-25,positive,336
2018-04-26,negative,175
2018-04-26,neutral,513
2018-04-26,positive,332
2018-04-27,negative,203
2018-04-27,neutral,488
2018-04-27,positive,329
