timestamp,sentiment,tally
2018-03-17,neutral,561
2018-03-17,positive,352
2018-03-18,negative,122
2018-03-18,neutral,531
2018-03-18,positive,367
2018-03-19,negative,139
2018-03-19,neutral,536
2018-03-19,positive,345
2018-03-20,negative,119
2018-03-20,neutral,518
2018-03-20,positive,383
2018-03-21,negative,137
2018-03-21,neutral,553
2018-03-21,positive,330
2018-03-22,negative,143
2018-03-22,neutral,546
2018-03-22,positive,331
2018-03-23,negative,119
2018-03-23,neutral,538
2018-03-23,positive,363
2018-03-24,negative,122
2018-03-24,neutral,529
2018-03-24,positive,369
2018-03-25,negative,97
2018-03-25,neutral,554
2018-03-25,positive,369
2018-03-26,negative,125
2018-03-26,neutral,553
2018-03-26,positive,342
2018-03-27,negative,133
2018-03-27,neutral,549
2018-03-27,positive,338
2018-03-28,negative,120
2018-03-28,neutral,549
2018-03-28,positive,351
2018-03-29,negative,118
2018-03-29,neutral,558
2018-03-29,positive,344
2018-03-30,negative,118
2018-03-30,neutral,606
2018-03-30,positive,296
2018-03-31,negative,113
2018-03-31,neutral,585
2018-03-31,positive,322
2018-04-01,negative,145
2018-04-01,neutral,502
2018-04-01,positive,372
2018-04-02,negative,114
2018-04-02,neutral,590
2018-04-02,positive,316
2018-04-03,negative,133
2018-04-03,neutral,572
2018-04-03,positive,315
2018-04-04,negative,132
2018-04-04,neutral,610
2018-04-04,positive,278
2018-04-05,negative,114
2018-04-05,neutral,600
2018-04-05,positive,306
2018-04-06,negative,120
2018-04-06,neutral,583
2018-04-06,positive,317
2018-04-07,negative,123
2018-04-07,neutral,592
2018-04-07,positive,305
2018-04-08,negative,129
2018-04-08,neutral,547
2018-04-08,positive,344
2018-04-09,negative,140
2018-04-09,neutral,551
2018-04-09,positive,329
2018-04-10,negative,138
2018-04-10,neutral,535
2018-04-10,positive,347
2018-04-11,negative,134
2018-04-11,neutral,554
2018-04-11,positive,332
2018-04-12,negative,107
2018-04-12,neutral,577
2018-04-12,positive,336
2018-04-13,negative,98
2018-04-13,neutral,601
2018-04-13,positive,321
2018-04-14,negative,107
2018-04-14,neutral,531
2018-04-14,positive,381
2018-04-15,negative,115
2018-04-15,neutral,586
2018-04-15,positive,319
2018-04-16,negative,141
2018-04-16,neutral,581
2018-04-16,positive,298
2018-04-17,negative,68
2018-04-17,neutral,410
2018-04-17,positive,202
2018-04-18,negative,125
2018-04-18,neutral,579
2018-04-18,positive,316
2018-04-19,negative,114
2018-04-19,neutral,580
2018-04-19,positive,326
2018-04-20,negative,127
2018-04-20,neutral,583
2018-04-20,positive,310
2018-04-21,negative,121
2018-04-21,neutral,568
2018-04-21,positive,331
2018-04-22,negative,119
2018-04-22,neutral,532
2018-04-22,positive,369
2018-04-23,negative,117
2018-04-23,neutral,630
2018-04-23,positive,273
2018-04-24,negative,122
2018-04-24,neutral,549
2018-04-24,positive,349
2018-04-25,negative,118
2018-04-25,neutral,566
2018-04-25,positive,336
2018-04-26,negative,121
2018-04-26,neutral,582
2018-04-26,positive,317
2018-04-27,negative,156
2018-04-27,neutral,539
2018-04-27,positive,325
2018-04-28,negative,112
2018-04-28,neutral,568
2018-04-28,positive,340
2018-04-29,negative,147
2018-04-29,neutral,530
2018-04-29,positive,343
2018-04-30,negative,114
2018-04-30,neutral,556
2018-04-30,positive,350
2018-05-01,negative,121
2018-05-01,neutral,570
2018-05-01,positive,329
2018-05-02,negative,107
2018-05-02,neutral,576
2018-05-02,positive,337
2018-05-03,negative,125
2018-05-03,neutral,554
2018-05-03,positive,341
2018-05-04,negative,132
2018-05-04,neutral,542
2018-05-04,positive,346
2018-05-05,negative,99
2018-05-05,neutral,562
2018-05-05,positive,359
2018-05-06,negative,117
2018-05-06,neutral,554
2018-05-06,positive,349
2018-05-07,negative,134
2018-05-07,neutral,577
2018-05-07,positive,309
2018-05-08,negative,120
2018-05-08,neutral,544
2018-05-08,positive,356
2018-05-09,negative,132
2018-05-09,neutral,547
2018-05-09,positive,341
2018-05-10,negative,129
2018-05-10,neutral,554
2018-05-10,positive,337
2018-05-11,negative,124
2018-05-11,neutral,565
2018-05-11,positive,331
2018-05-12,negative,128
2018-05-12,neutral,533
2018-05-12,positive,359
2018-05-13,negative,118
2018-05-13,neutral,552
2018-05-13,positive,350
2018-05-14,negative,125
2018-05-14,neutral,565
2018-05-14,positive,330
2018-05-15,negative,115
2018-05-15,neutral,571
2018-05-15,positive,334
2018-05-16,negative,116
2018-05-16,neutral,547
2018-05-16,positive,357
2018-05-17,negative,127
2018-05-17,neutral,570
2018-05-17,positive,323
2018-05-18,negative,124
2018-05-18,neutral,544
2018-05-18,positive,351
2018-05-19,negative,139
2018-05-19,neutral,530
2018-05-19,positive,351
2018-05-20,negative,137
2018-05-20,neutral,533
2018-05-20,positive,350
2018-05-21,negative,103
2018-05-21,neutral,575
2018-05-21,positive,342
2018-05-22,negative,107
2018-05-22,neutral,597
2018-05-22,positive,316
2018-05-23,negative,110
2018-05-23,neutral,562
2018-05-23,positive,348
2018-05-24,negative,128
2018-05-24,neutral,545
2018-05-24,positive,347
2018-05-25,negative,143
2018-05-25,neutral,540
2018-05-25,positive,337
2018-05-26,negative,156
2018-05-26,neutral,525
2018-05-26,positive,339
2018-05-27,negative,122
2018-05-27,neutral,544
2018-05-27,positive,354
2018-05-28,negative,141
2018-05-28,neutral,558
2018-05-28,positive,321
2018-05-29,negative,126
2018-05-29,neutral,568
2018-05-29,positive,326
2018-05-30,negative,96
2018-05-30,neutral,569
2018-05-30,positive,355
2018-05-31,negative,132
2018-05-31,neutral,583
2018-05-31,positive,305
2018-06-01,negative,135
2018-06-01,neutral,563
2018-06-01,positive,322
2018-06-02,negative,122
2018-06-02,neutral,550
2018-06-02,positive,335
2018-06-03,negative,135
2018-06-03,neutral,523
2018-06-03,positive,362
2018-06-04,negative,121
2018-06-04,neutral,559
2018-06-04,positive,340
2018-06-05,negative,134
2018-06-05,neutral,528
2018-06-05,positive,358
2018-06-06,negative,131
2018-06-06,neutral,549
2018-06-06,positive,340
2018-06-07,negative,125
2018-06-07,neutral,555
2018-06-07,positive,340
2018-06-08,negative,130
2018-06-08,neutral,586
2018-06-08,positive,304
2018-06-09,negative,137
2018-06-09,neutral,542
2018-06-09,positive,341
2018-06-10,negative,136
2018-06-10,neutral,554
2018-06-10,positive,330
2018-06-11,negative,149
2018-06-11,neutral,514
2018-06-11,positive,357
2018-06-12,negative,128
2018-06-12,neutral,542
2018-06-12,positive,350
2018-06-13,negative,109
2018-06-13,neutral,536
2018-06-13,positive,375
2018-06-14,negative,129
2018-06-14,neutral,529
2018-06-14,positive,362
2018-06-15,negative,112
2018-06-15,neutral,566
2018-06-15,positive,342
2018-06-16,negative,108
2018-06-16,neutral,575
2018-06-16,positive,337
2018-06-17,negative,141
2018-06-17,neutral,531
2018-06-17,positive,348
2018-06-18,negative,127
2018-06-18,neutral,561
2018-06-18,positive,332
2018-06-19,negative,140
2018-06-19,neutral,519
2018-06-19,positive,361
2018-06-20,negative,155
2018-06-20,neutral,534
2018-06-20,positive,331
2018-06-21,negative,124
2018-06-21,neutral,585
2018-06-21,positive,311
2018-06-22,negative,130
2018-06-22,neutral,527
2018-06-22,positive,363
2018-06-23,negative,131
2018-06-23,neutral,539
2018-06-23,positive,350
2018-06-24,negative,126
2018-06-24,neutral,565
2018-06-24,positive,329
2018-06-25,negative,141
2018-06-25,neutral,538
2018-06-25,positive,341
2018-06-26,negative,125
2018-06-26,neutral,552
2018-06-26,positive,343
2018-06-27,negative,131
2018-06-27,neutral,570
2018-06-27,positive,319
2018-06-28,negative,142
2018-06-28,neutral,532
2018-06-28,positive,346
2018-06-29,negative,133
2018-06-29,neutral,547
2018-06-29,positive,340
2018-06-30,negative,127
2018-06-30,neutral,571
2018-06-30,positive,322
2018-07-01,negative,111
2018-07-01,neutral,549
2018-07-01,positive,360
2018-07-02,negative,120
2018-07-02,neutral,557
2018-07-02,positive,343
2018-07-03,negative,97
2018-07-03,neutral,560
2018-07-03,positive,363
2018-07-04,negative,141
2018-07-04,neutral,532
2018-07-04,positive,347
2018-07-05,negative,137
2018-07-05,neutral,529
2018-07-05,positive,354
2018-07-06,negative,128
2018-07-06,neutral,541
2018-07-06,positive,351
2018-07-07,negative,142
2018-07-07,neutral,558
2018-07-07,positive,320
2018-07-08,negative,140
2018-07-08,neutral,554
2018-07-08,positive,326
2018-07-09,negative,112
2018-07-09,neutral,576
2018-07-09,positive,332
2018-07-10,negative,128
2018-07-10,neutral,539
2018-07-10,positive,353
2018-07-11,negative,133
2018-07-11,neutral,544
2018-07-11,positive,343
2018-07-12,negative,126
2018-07-12,neutral,544
2018-07-12,positive,350
2018-07-13,negative,103
2018-07-13,neutral,576
2018-07-13,positive,341
2018-07-14,negative,142
2018-07-14,neutral,555
2018-07-14,positive,323
2018-07-15,negative,103
2018-07-15,neutral,566
2018-07-15,positive,351
2018-07-16,negative,121
2018-07-16,neutral,563
2018-07-16,positive,336
2018-07-17,negative,149
2018-07-17,neutral,567
2018-07-17,positive,304
2018-07-18,negative,134
2018-07-18,neutral,573
2018-07-18,positive,313
2018-07-19,negative,123
2018-07-19,neutral,558
2018-07-19,positive,339
2018-07-20,negative,138
2018-07-20,neutral,534
2018-07-20,positive,347
2018-07-21,negative,142
2018-07-21,neutral,535
2018-07-21,positive,343
2018-07-22,negative,131
2018-07-22,neutral,525
2018-07-22,positive,364
2018-07-23,negative,142
2018-07-23,neutral,518
2018-07-23,positive,360
2018-07-24,negative,122
2018-07-24,neutral,566
2018-07-24,positive,332
2018-07-25,negative,128
2018-07-25,neutral,513
2018-07-25,positive,379
2018-07-26,negative,123
2018-07-26,neutral,558
2018-07-26,positive,339
2018-07-27,negative,125
2018-07-27,neutral,564
2018-07-27,positive,331
2018-07-28,negative,128
2018-07-28,neutral,553
2018-07-28,positive,339
2018-07-29,negative,116
2018-07-29,neutral,591
2018-07-29,positive,313
2018-07-30,negative,144
2018-07-30,neutral,558
2018-07-30,positive,318
2018-07-31,negative,119
2018-07-31,neutral,558
2018-07-31,positive,343
2018-08-01,negative,116
2018-08-01,neutral,525
2018-08-01,positive,379
2018-08-02,negative,137
2018-08-02,neutral,537
2018-08-02,positive,346
2018-08-03,negative,123
2018-08-03,neutral,549
2018-08-03,positive,348
2018-08-04,negative,126
2018-08-04,neutral,539
2018-08-04,positive,355
2018-08-05,negative,143
2018-08-05,neutral,536
2018-08-05,positive,341
2018-08-06,negative,132
2018-08-06,neutral,563
2018-08-06,positive,325
2018-08-07,negative,120
2018-08-07,neutral,553
2018-08-07,positive,347
2018-08-08,negative,116
2018-08-08,neutral,553
2018-08-08,positive,350
2018-08-09,negative,145
2018-08-09,neutral,531
2018-08-09,positive,344
2018-08-10,negative,117
2018-08-10,neutral,557
2018-08-10,positive,346
2018-08-11,negative,120
2018-08-11,neutral,558
2018-08-11,positive,342
2018-08-12,negative,136
2018-08-12,neutral,534
2018-08-12,positive,350
2018-08-13,negative,133
2018-08-13,neutral,541
2018-08-13,positive,346
2018-08-14,negative,123
2018-08-14,neutral,565
2018-08-14,positive,332
2018-08-15,negative,137
2018-08-15,neutral,533
2018-08-15,positive,350
2018-08-16,negative,141
2018-08-16,neutral,528
2018-08-16,positive,351
2018-08-17,negative,124
2018-08-17,neutral,572
2018-08-17,positive,324
2018-08-18,negative,147
2018-08-18,neutral,529
2018-08-18,positive,344
2018-08-19,negative,126
2018-08-19,neutral,538
2018-08-19,positive,356
2018-08-20,negative,119
2018-08-20,neutral,577
2018-08-20,positive,324
2018-08-21,negative,132
2018-08-21,neutral,561
2018-08-21,positive,327
2018-08-22,negative,141
2018-08-22,neutral,550
2018-08-22,positive,327
2018-08-23,negative,142
2018-08-23,neutral,531
2018-08-23,positive,347
2018-08-24,negative,133
2018-08-24,neutral,558
2018-08-24,positive,329
2018-08-25,negative,135
2018-08-25,neutral,547
2018-08-25,positive,338
2018-08-26,negative,111
2018-08-26,neutral,571
2018-08-26,positive,338
2018-08-27,negative,137
2018-08-27,neutral,538
2018-08-27,positive,345
2018-08-28,negative,131
2018-08-28,neutral,558
2018-08-28,positive,331
2018-08-29,negative,136
2018-08-29,neutral,536
2018-08-29,positive,348
2018-08-30,negative,139
2018-08-30,neutral,562
2018-08-30,positive,319
2018-08-31,negative,137
2018-08-31,neutral,548
2018-08-31,positive,335
2018-09-01,negative,134
2018-09-01,neutral,526
2018-09-01,positive,360
2018-09-02,negative,119
2018-09-02,neutral,535
2018-09-02,positive,366
2018-09-03,negative,144
2018-09-03,neutral,540
2018-09-03,positive,336
2018-09-04,negative,121
2018-09-04,neutral,530
2018-09-04,positive,369
2018-09-05,negative,141
2018-09-05,neutral,538
2018-09-05,positive,341
2018-09-06,negative,127
2018-09-06,neutral,532
2018-09-06,positive,361
2018-09-07,negative,143
2018-09-07,neutral,535
2018-09-07,positive,342
2018-09-08,negative,130
2018-09-08,neutral,551
2018-09-08,positive,339
2018-09-09,negative,146
2018-09-09,neutral,565
2018-09-09,positive,309
2018-09-10,negative,137
2018-09-10,neutral,570
2018-09-10,positive,313
2018-09-11,negative,142
2018-09-11,neutral,545
2018-09-11,positive,333
2018-09-12,negative,151
2018-09-12,neutral,544
2018-09-12,positive,325
2018-09-13,negative,137
2018-09-13,neutral,541
2018-09-13,positive,342
2018-09-14,negative,133
2018-09-14,neutral,539
