timestamp,sentiment,tally
2018-03-17,neutral,435
2018-03-17,positive,490
2018-03-18,negative,89
2018-03-18,neutral,437
2018-03-18,positive,494
2018-03-19,negative,110
2018-03-19,neutral,436
2018-03-19,positive,474
2018-03-20,negative,80
2018-03-20,neutral,468
2018-03-20,positive,472
2018-03-21,negative,84
2018-03-21,neutral,457
2018-03-21,positive,479
2018-03-22,negative,76
2018-03-22,neutral,425
2018-03-22,positive,519
2018-03-23,negative,82
2018-03-23,neutral,446
2018-03-23,positive,492
2018-03-24,negative,81
2018-03-24,neutral,459
2018-03-24,positive,480
2018-03-25,negative,98
2018-03-25,neutral,435
2018-03-25,positive,487
2018-03-26,negative,101
2018-03-26,neutral,454
2018-03-26,positive,465
2018-03-27,negative,95
2018-03-27,neutral,414
2018-03-27,positive,511
2018-03-28,negative,83
2018-03-28,neutral,417
2018-03-28,positive,520
2018-03-29,negative,91
2018-03-29,neutral,463
2018-03-29,positive,466
2018-03-30,negative,87
2018-03-30,neutral,472
2018-03-30,positive,461
2018-03-31,negative,84
2018-03-31,neutral,452
2018-03-31,positive,484
2018-04-01,negative,92
2018-04-01,neutral,442
2018-04-01,positive,485
2018-04-02,negative,103
2018-04-02,neutral,462
2018-04-02,positive,455
2018-04-03,negative,89
2018-04-03,neutral,456
2018-04-03,positive,475
2018-04-04,negative,91
2018-04-04,neutral,430
2018-04-04,positive,499
2018-04-05,negative,104
2018-04-05,neutral,420
2018-04-05,positive,496
2018-04-06,negative,82
2018-04-06,neutral,436
2018-04-06,positive,502
2018-04-07,negative,91
2018-04-07,neutral,454
2018-04-07,positive,475
2018-04-08,negative,112
2018-04-08,neutral,427
2018-04-08,positive,481
2018-04-09,negative,99
2018-04-09,neutral,460
2018-04-09,positive,461
2018-04-10,negative,78
2018-04-10,neutral,440
2018-04-10,positive,502
2018-04-11,negative,95
2018-04-11,neutral,432
2018-04-11,positive,493
2018-04-12,negative,110
2018-04-12,neutral,425
2018-04-12,positive,485
2018-04-13,negative,75
2018-04-13,neutral,419
2018-04-13,positive,526
2018-04-14,negative,80
2018-04-14,neutral,471
2018-04-14,positive,468
2018-04-15,negative,97
2018-04-15,neutral,408
2018-04-15,positive,515
2018-04-16,negative,84
2018-04-16,neutral,412
2018-04-16,positive,524
2018-04-17,negative,61
2018-04-17,neutral,273
2018-04-17,positive,346
2018-04-18,negative,102
2018-04-18,neutral,420
2018-04-18,positive,498
2018-04-19,negative,87
2018-04-19,neutral,435
2018-04-19,positive,498
2018-04-20,negative,75
2018-04-20,neutral,464
2018-04-20,positive,481
2018-04-21,negative,91
2018-04-21,neutral,449
2018-04-21,positive,480
2018-04-22,negative,102
2018-04-22,neutral,427
2018-04-22,positive,491
2018-04-23,negative,95
2018-04-23,neutral,439
2018-04-23,positive,486
2018-04-24,negative,92
2018-04-24,neutral,432
2018-04-24,positive,496
2018-04-25,negative,87
2018-04-25,neutral,448
2018-04-25,positive,485
2018-04-26,negative,92
2018-04-26,neutral,459
2018-04-26,positive,469
2018-04-27,negative,111
2018-04-27,neutral,426
2018-04-27,positive,483
2018-04-28,negative,75
2018-04-28,neutral,460
2018-04-28,positive,485
2018-04-29,negative,97
2018-04-29,neutral,451
2018-04-29,positive,472
2018-04-30,negative,102
2018-04-30,neutral,409
2018-04-30,positive,509
2018-05-01,negative,89
2018-05-01,neutral,456
2018-05-01,positive,475
2018-05-02,negative,97
2018-05-02,neutral,475
